Incident CI Primary,Incident State,Incident Priority,Incident Impact,Incident Urgency,Incident Previous State,Incident Knowledge Article Reference,Incident Closure Code,Incident Symptom Code
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0168455, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.80, Solved Proposed, , Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0179922, External, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0172573, No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB96726, Troubleshooting Fix, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Configuration, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27020, User Error, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , User Error, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , No Fault Found, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.249, 0.20, 0.60, Solved Confirmed, KB96192, Configuration, Unavailable
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0168455, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0168455, Configuration, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB41917, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB110138, User Error, Capacity Issue
 1, 0.99, 0.249, 0.20, 0.60, Solved Confirmed, KB0172952, Configuration, Capacity Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB30350, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB96726, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , No Fault Found, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB30304, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB96726, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB31179, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , User Error, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB31179, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB48163, User Error, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB96726, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , No Fault Found, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB31179, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27020, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.99, Solved Confirmed, , Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.80, Solved Confirmed, KB0183783, Troubleshooting Fix, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0183838, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.80, Solved Confirmed, , Troubleshooting Fix, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB0172573, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , External, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB45819, Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.80, Solved Confirmed, KB86690, Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB86690, Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB29781, Troubleshooting Fix, Configuration Issue
